domain,label,article_count,pred_hyper_count,percentage_hyper,avg_confidence,avg_sentiment
leftjustified.com,0,72,11,15.277777777777779,0.1627618201568516,0.7943999999999998
progressive.org,1,52,27,51.92307692307693,0.5019645144482359,0.8769980769230773
abovethelaw.com,0,129,34,26.356589147286826,0.32022106684311186,0.9552767441860466
geopoliticsalert.com,0,208,33,15.865384615384615,0.18506344004372993,0.8896778846153842
maplight.org,0,186,4,2.1505376344086025,0.05260812963349044,0.8547274193548396
pe.com,0,64,4,6.25,0.0822554905898869,0.8895656249999997
lawfareblog.com,0,177,51,28.8135593220339,0.317326044553291,0.8701231638418075
outsidethebeltway.com,0,163,58,35.58282208588957,0.3714412522896484,0.8328134969325154
downtrend.com,1,18,12,66.66666666666666,0.6195136474238502,0.8653222222222223
insidesources.com,0,198,89,44.94949494949495,0.44802670794623817,0.9142666666666669
startribune.com,0,23,0,0.0,0.021948592170425083,0.898508695652174
newsbreakshere.com,1,16,8,50.0,0.4870772287249565,0.931
patriotpost.us,1,18,16,88.88888888888889,0.8196309869074159,0.8746944444444443
govexec.com,0,76,13,17.105263157894736,0.2029084671950458,0.8699355263157894
townhall.com,1,20,15,75.0,0.6854604996740818,0.8374
merionwest.com,0,204,158,77.45098039215686,0.7136249270235353,0.944575490196078
iotwreport.com,1,13,1,7.6923076923076925,0.11130043778281945,0.6403000000000001
weaselzippers.us,1,19,1,5.263157894736842,0.08882140309402817,0.7763842105263158
wnd.com,1,18,8,44.44444444444444,0.383350420018865,0.8939222222222222
meanlefthook.com,1,144,95,65.97222222222221,0.6215188668316437,0.8066611111111112
youngprogressivevoices.com,1,213,128,60.093896713615024,0.5961751228793056,0.8777549295774651
thenewamerican.com,1,20,9,45.0,0.4353612349834293,0.9688199999999998
investmentwatchblog.com,1,16,3,18.75,0.29148419067496434,0.84219375
rightedition.com,1,20,6,30.0,0.31622758363373576,0.878885
ncpolicywatch.com,0,187,45,24.06417112299465,0.2494210003710845,0.7963540106951867
guttmacher.org,0,74,2,2.7027027027027026,0.0892363006274241,0.7986554054054056
opednews.com,1,168,76,45.23809523809524,0.4799676498154267,0.8395541666666672
projectveritas.com,1,11,0,0.0,0.056298032656989315,0.7387999999999999
janmorganmedia.com,1,14,10,71.42857142857143,0.6354313993028232,0.899407142857143
bluelivesmatter.blue,1,20,0,0.0,0.031615243572741744,0.8639050000000001
bearingarms.com,1,17,4,23.52941176470588,0.25740508400999446,0.8072176470588236
al.com,0,105,7,6.666666666666667,0.08890396779669182,0.9074990476190473
eagletribune.com,0,39,2,5.128205128205128,0.07081228508972205,0.874720512820513
thenation.com,1,39,17,43.58974358974359,0.39987335034096855,0.9174846153846156
teapartytribune.com,1,18,15,83.33333333333334,0.8137374454074435,0.9470888888888889
sovereignman.com,1,14,1,7.142857142857142,0.14961137921948517,0.7171000000000001
conservativedailypost.com,1,19,11,57.89473684210527,0.5513768157382545,0.9206263157894735
factbox.tv,0,82,34,41.46341463414634,0.4328059114447636,0.8128219512195122
commondreams.org,1,31,9,29.03225806451613,0.3203267942092592,0.9349387096774192
allenbwest.com,1,18,8,44.44444444444444,0.48729274882417584,0.8712666666666665
dailysignal.com,1,19,8,42.10526315789473,0.4336509573714514,0.8586736842105263
excaliburnews.com,1,14,5,35.714285714285715,0.31497682231877533,0.8953928571428573
deneenborelli.com,1,19,3,15.789473684210526,0.1575831363075658,0.7618105263157896
theblaze.com,1,13,2,15.384615384615385,0.1413454727914471,0.7667076923076923
tomdispatch.com,1,14,7,50.0,0.5142720019710916,0.9956642857142858
bluedotdaily.com,1,9,6,66.66666666666666,0.6980479922559526,0.8893333333333335
truthandaction.org,1,19,10,52.63157894736842,0.47713323996255275,0.6744526315789474
thenewsdoctors.com,1,15,9,60.0,0.5214477011313041,0.79672
gopthedailydose.com,1,5,1,20.0,0.2490520952269435,0.7689199999999999
mrctv.org,1,15,5,33.33333333333333,0.3552827941253781,0.7989666666666666
nj.com,0,13,6,46.15384615384615,0.45889823210354036,0.7948461538461539
hotair.com,1,21,15,71.42857142857143,0.6416632335721737,0.8616666666666668
reviveusa.com,1,10,2,20.0,0.20755091374740003,0.86112
sonsoflibertymedia.com,1,19,10,52.63157894736842,0.5593568611105806,0.8507684210526314
controversialtimes.com,1,16,1,6.25,0.10004849423421547,0.896625
godfatherpolitics.com,1,17,14,82.35294117647058,0.7116523840848137,0.8841117647058824
politicaloutcast.com,1,20,17,85.0,0.7270077023655176,0.9022350000000001
lidblog.com,1,33,24,72.72727272727273,0.6833917542050282,0.9160090909090909
activistpost.com,1,210,60,28.57142857142857,0.2957039422932125,0.840538571428571
americanconservativeherald.com,1,19,15,78.94736842105263,0.7944484270716968,0.9015842105263158
dcstatesman.com,1,7,1,14.285714285714285,0.17055611112820251,0.741157142857143
joeforamerica.com,1,18,10,55.55555555555556,0.5357090938939817,0.9028722222222222
conservative101.com,1,9,6,66.66666666666666,0.7110039792541001,0.8057666666666665
freedomoutpost.com,1,17,7,41.17647058823529,0.3894764143864022,0.9324470588235294
alexanderhiggins.com,1,69,28,40.57971014492754,0.3659198386054756,0.8990507246376814
commentarymagazine.com,1,21,20,95.23809523809523,0.88237046060108,0.891542857142857
conservativeworlddaily.com,1,14,6,42.857142857142854,0.4743111432263894,0.8347642857142856
offthewire.com,1,17,10,58.82352941176471,0.5687774241189746,0.9659764705882354
fixthisnation.com,1,20,18,90.0,0.8500155437737703,0.8693349999999999
usdefensewatch.com,1,18,7,38.88888888888889,0.3694680197578337,0.8809222222222224
bookwormroom.com,1,18,15,83.33333333333334,0.7846734318882227,0.9308888888888889
citizensfortrump.com,1,11,4,36.36363636363637,0.3414343913001093,0.7424
theblacksphere.net,1,15,12,80.0,0.7968044166763624,0.9170333333333333
faithfamilyamerica.com,1,10,1,10.0,0.1108790253289044,0.8297399999999999
politicalsitenews.com,1,13,6,46.15384615384615,0.46234343337038386,0.9083923076923077
totalconservative.com,1,15,12,80.0,0.7569332929948965,0.9399333333333332
counterinformation.wordpress.com,1,7,1,14.285714285714285,0.2343830842790859,0.9661714285714286
sharpelbowsstl.blogspot.com,1,11,6,54.54545454545454,0.5012179833244194,0.48708181818181817
jamieglazov.com,1,7,1,14.285714285714285,0.1283826394272702,0.9014857142857142
conservativeintel.com,1,15,1,6.666666666666667,0.17842996151496968,0.7591333333333333
patriotnewsdaily.com,1,20,17,85.0,0.7594686797820032,0.834935
libertyunyielding.com,1,17,8,47.05882352941176,0.47233904098324914,0.6803117647058824
ijr.com,1,16,0,0.0,0.03631198190851137,0.72504375
dcgazette.com,1,14,9,64.28571428571429,0.6687296962897692,0.9385500000000001
clashdaily.com,1,15,10,66.66666666666666,0.570825141047438,0.7678733333333334
conservativetribune.com,1,15,3,20.0,0.23837958096216122,0.9366733333333331
bloodyrubbish.com,1,7,6,85.71428571428571,0.8672401309013367,0.9245428571428571
cnsnews.com,1,9,1,11.11111111111111,0.15841664798143837,0.8322555555555555
dailycaller.com,1,18,8,44.44444444444444,0.37760793702262974,0.8091833333333335
usatwentyfour.com,1,11,2,18.181818181818183,0.22268597553060812,0.7423727272727273
news.groopspeak.com,1,7,2,28.57142857142857,0.2816003155229347,0.6498428571428573
libertytalk.fm,1,10,6,60.0,0.5745816711336375,0.88634
ih8hillary.com,1,8,2,25.0,0.3002954409457743,0.8500124999999998
rebelpundit.com,1,2,0,0.0,0.13533490803092718,0.9762
patribotics.blog,1,2,0,0.0,0.07823585346341133,0.5307999999999999
conservativereview.com,1,13,10,76.92307692307693,0.7243847422874891,0.937153846153846
rightforever.com,1,2,2,100.0,0.9045447409152985,0.94295
therepublicannews.net,1,4,0,0.0,0.012127667432650924,0.978875
greatamericandaily.com,1,3,0,0.0,0.1450817926476399,0.9725999999999999
knoxreport.com,1,2,2,100.0,0.8976956009864807,0.6926
unhyphenatedamerica.org,1,1,0,0.0,0.01358561310917139,0.8777
usanewspolitics.com,1,4,0,0.0,0.08729630522429943,0.87415
craigjames.com,1,2,0,0.0,0.0401251669973135,0.55785
dailyherald.news,1,1,1,100.0,0.9368159770965576,0.9171
readconservatives.news,1,2,0,0.0,0.11615356197580695,0.9914000000000001
